"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9663",9219,"MTA2","HighConf","Yes",NA,"MORF4L1, KAT2B, PHF12, MBD3, PHF21A, ZFPM1, UBC, HDAC2, HDAC4, CHD4, MBD2, SIN3A","Thyroid hormone signaling pathway (3), Notch signaling pathway (2), Cell cycle (1)"
"9709",4544,"MTNR1B","MedConf","Yes","Neuroactive ligand-receptor interaction","GNG10, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, GNAI3, CCR8, NMUR2, CXCL8, AGT, CXCR5, C5, OPRM1, CXCL13, CXCR4, GNG3","Chemokine signaling pathway (10), Neuroactive ligand-receptor interaction (10), Cytokine-cytokine receptor interaction (7), cAMP signaling pathway (6), Dopaminergic synapse (4), Serotonergic synapse (4), Relaxin signaling pathway (3), PI3K-Akt signaling pathway (3), Toll-like receptor signaling pathway (2), Renin secretion (2), Leukocyte transendothelial migration (2), Sphingolipid signaling pathway (2), Rap1 signaling pathway (2), Ras signaling pathway (2), Regulation of actin cytoskeleton (2), Phospholipase D signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Platelet activation (1), Adrenergic signaling in cardiomyocytes (1), Long-term depression (1)"
"9743",4593,"MUSK","MedConf","Yes",NA,"AGRN, CDC42, PTK2B","GnRH signaling pathway (2), Chemokine signaling pathway (2), Leukocyte transendothelial migration (2), ECM-receptor interaction (1), Phospholipase D signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1)"
"9746",4595,"MUTYH","MedConf","Yes","Base excision repair","PCNA, UBC","Cell cycle (1), Base excision repair (1)"
"9750",4598,"MVK","MedConf","Yes",NA,"NFYB, SP1, NFYC","Mitophagy - animal (1)"
"9757",4601,"MXI1","MedConf","Yes",NA,"MAX","MAPK signaling pathway (1)"
"9765",4605,"MYBL2","HighConf","Yes",NA,"PLK1, E2F3, CCNB2, LIN52, CCNE1, LIN9","Cell cycle (4), PI3K-Akt signaling pathway (1)"
"9777",80177,"MYCT1","HighConf","Yes",NA,"MAX","MAPK signaling pathway (1)"
"9778",4615,"MYD88","HighConf","Yes","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway","IRAK1, TIRAP, NFKBIB, TLR2, IL1B, IL1A, TOLLIP, LY96, IL1RN, UBC, NGFR, IKBKB, S100A8, TLR4, MAP3K7, RELA, EIF2AK2, CD14","Toll-like receptor signaling pathway (11), NF-kappa B signaling pathway (9), NOD-like receptor signaling pathway (6), MAPK signaling pathway (6), PI3K-Akt signaling pathway (5), Osteoclast differentiation (5), Th17 cell differentiation (4), T cell receptor signaling pathway (4), RIG-I-like receptor signaling pathway (4), TNF signaling pathway (4), Phagosome (3), Hematopoietic cell lineage (3), Th1 and Th2 cell differentiation (3), Ras signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (3), Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), Apoptosis (2), Regulation of actin cytoskeleton (1), Sphingolipid signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), cAMP signaling pathway (1), Rap1 signaling pathway (1)"
"9788",79784,"MYH14","MedConf","Yes","Regulation of actin cytoskeleton",NA,NA
"9792",4624,"MYH6","MedConf","Yes","Thyroid hormone signaling pathway, Adrenergic signaling in cardiomyocytes",NA,NA
"9797",4632,"MYL1","MedConf","Yes",NA,"MYLPF","Focal adhesion (1), Leukocyte transendothelial migration (1), Regulation of actin cytoskeleton (1)"
"9807",58498,"MYL7","MedConf","Yes","Regulation of actin cytoskeleton, Leukocyte transendothelial migration, Focal adhesion","MYLK2","Platelet activation (1), Focal adhesion (1), Regulation of actin cytoskeleton (1)"
"9811",85366,"MYLK2","HighConf","Yes","Regulation of actin cytoskeleton, Focal adhesion, Platelet activation","MYL7, MYLPF, PRKX","Focal adhesion (2), Leukocyte transendothelial migration (2), Regulation of actin cytoskeleton (2)"
"9814",29895,"MYLPF","MedConf","Yes","Regulation of actin cytoskeleton, Leukocyte transendothelial migration, Focal adhesion","MYLK2, MYL1","Platelet activation (1), Focal adhesion (1), Regulation of actin cytoskeleton (1)"
"9906",10135,"NAMPT","HighConf","Yes","NOD-like receptor signaling pathway","UBC",NA
"9954",4684,"NCAM1","MedConf","Yes",NA,"ICAM1, CACNB4, CNTN2, CACNA1C, IRF6, AGRN, MT2A, IRF9, GBP2, KRAS, OASL, PRNP","MAPK signaling pathway (3), NOD-like receptor signaling pathway (2), Adrenergic signaling in cardiomyocytes (2), AGE-RAGE signaling pathway in diabetic complications (2), GnRH signaling pathway (2), Serotonergic synapse (2), ECM-receptor interaction (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), NF-kappa B signaling pathway (1), Dopaminergic synapse (1), Insulin secretion (1), Renin secretion (1), cAMP signaling pathway (1), Jak-STAT signaling pathway (1), Osteoclast differentiation (1), Phospholipase D signaling pathway (1), Apoptosis (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Fc epsilon RI signaling pathway (1), Long-term depression (1), Mitophagy - animal (1), Aldosterone-regulated sodium reabsorption (1), Thyroid hormone signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), Chemokine signaling pathway (1), Rap1 signaling pathway (1), Regulation of actin cytoskeleton (1), PI3K-Akt signaling pathway (1)"
"9985",23054,"NCOA6","HighConf","Yes",NA,"MED14, MED7, MED26, MED10, NFYB, MED8, MED21, MED19, YAP1, NFYC, AGT, RORA, ALAS1, FHL2, HMGCS2, CTGF, WDR5, SP1, SIN3A","Thyroid hormone signaling pathway (2), Mitophagy - animal (1), Osteoclast differentiation (1), Th17 cell differentiation (1), Renin secretion (1)"
"9993",23385,"NCSTN","HighConf","Yes","Notch signaling pathway","YAP1, ITGB3BP, JAG1, NOTCH4, IK, DTX1, UBB, RPS27A, UBC, RELA, NGFR","Notch signaling pathway (3), Th1 and Th2 cell differentiation (2), Mitophagy - animal (2), Ras signaling pathway (2), TNF signaling pathway (2), PI3K-Akt signaling pathway (2), Th17 cell differentiation (1), Apoptosis (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), cAMP signaling pathway (1), Chemokine signaling pathway (1), NOD-like receptor signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Ribosome (1), Rap1 signaling pathway (1), Cytokine-cytokine receptor interaction (1), Thyroid hormone signaling pathway (1)"
"10013",4694,"NDUFA1","MedConf","Yes",NA,"RBM39, SF3B2, CCAR1, IK","Spliceosome (1)"
"10124",84901,"NFATC2IP","MedConf","Yes",NA,"UBC, TOP2A","Platinum drug resistance (1)"
"10140",4793,"NFKBIB","MedConf","Yes","NOD-like receptor signaling pathway, Chemokine signaling pathway, RIG-I-like receptor signaling pathway, T cell receptor signaling pathway, Th17 cell differentiation, Th1 and Th2 cell differentiation","AGER, EIF2AK2, IKBKB, TICAM1, RELA, MYD88, RIPK1","NOD-like receptor signaling pathway (5), Toll-like receptor signaling pathway (5), NF-kappa B signaling pathway (5), Apoptosis (3), RIG-I-like receptor signaling pathway (3), TNF signaling pathway (3), Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), T cell receptor signaling pathway (2), Ras signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Osteoclast differentiation (2), Chemokine signaling pathway (2), MAPK signaling pathway (2), PI3K-Akt signaling pathway (2), Sphingolipid signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), cAMP signaling pathway (1)"
"10142",4794,"NFKBIE","HighConf","Yes","T cell receptor signaling pathway, Th17 cell differentiation, Th1 and Th2 cell differentiation","IKBKB, RELA","Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), Apoptosis (2), T cell receptor signaling pathway (2), Ras signaling pathway (2), RIG-I-like receptor signaling pathway (2), Osteoclast differentiation (2), Chemokine signaling pathway (2), NOD-like receptor signaling pathway (2), TNF signaling pathway (2), MAPK signaling pathway (2), Toll-like receptor signaling pathway (2), PI3K-Akt signaling pathway (2), NF-kappa B signaling pathway (2), Sphingolipid signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), cAMP signaling pathway (1)"
"10151",4801,"NFYB","MedConf","Yes",NA,"PDGFRB, NFYC, MVK, MAX, NCOA6, HSPA5, SP1","MAPK signaling pathway (2), Mitophagy - animal (1), Protein export (1), Thyroid hormone synthesis (1), Phospholipase D signaling pathway (1), Ras signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), Regulation of actin cytoskeleton (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"10152",4802,"NFYC","MedConf","Yes",NA,"MVK, NFYB, MAX, PDGFRB, HSPA5, SP1, UBC, NCOA6","MAPK signaling pathway (2), Phospholipase D signaling pathway (1), Ras signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), Regulation of actin cytoskeleton (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), Mitophagy - animal (1), Protein export (1), Thyroid hormone synthesis (1)"
"10157",4804,"NGFR","MedConf","Yes","PI3K-Akt signaling pathway, Cytokine-cytokine receptor interaction, Rap1 signaling pathway, Ras signaling pathway","RPS27A, IKBKB, RELA, CDC42, RHOB, NCSTN, MYD88, ARHGDIB, ITGB3BP, PIK3R3, SHC2, EFNA2, FGF9, SMPD2, RTN4, FGF12, FGF8, FGF10, UBB, UBC","Ras signaling pathway (10), PI3K-Akt signaling pathway (8), Rap1 signaling pathway (7), MAPK signaling pathway (7), Regulation of actin cytoskeleton (6), Chemokine signaling pathway (5), T cell receptor signaling pathway (4), Toll-like receptor signaling pathway (4), Sphingolipid signaling pathway (3), Relaxin signaling pathway (3), Focal adhesion (3), Apoptosis (3), AGE-RAGE signaling pathway in diabetic complications (3), Osteoclast differentiation (3), TNF signaling pathway (3), NOD-like receptor signaling pathway (3), NF-kappa B signaling pathway (3), Mitophagy - animal (2), Phospholipase D signaling pathway (2), Fc gamma R-mediated phagocytosis (2), cAMP signaling pathway (2), Leukocyte transendothelial migration (2), Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), RIG-I-like receptor signaling pathway (2), Platelet activation (1), Platinum drug resistance (1), Jak-STAT signaling pathway (1), Fc epsilon RI signaling pathway (1), Aldosterone-regulated sodium reabsorption (1), Thyroid hormone signaling pathway (1), Vasopressin-regulated water reabsorption (1), Notch signaling pathway (1), GnRH signaling pathway (1), Ribosome (1)"
"10168",4809,"NHP2L1","MedConf","Yes",NA,NA,NA
"10175",84365,"NIFK","MedConf","Yes",NA,"RPL27, RPL3, RPL3L, SF3B1, PA2G4, RRP1, RPL4, RPL19, RPS8, RPL23A, RPL31, NOP2, RPS2, UBC, RRP9","Ribosome (9), Spliceosome (1)"
"10187",25836,"NIPBL","HighConf","Yes",NA,"RAD21","Cell cycle (1)"
"10226",58484,"NLRC4","MedConf","Yes","NOD-like receptor signaling pathway","IL1B","Th17 cell differentiation (1), Hematopoietic cell lineage (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1)"
"10231",91662,"NLRP12","MedConf","Yes","NOD-like receptor signaling pathway",NA,NA
"10242",79671,"NLRX1","MedConf","Yes","NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway","IFIH1","RIG-I-like receptor signaling pathway (1)"
"10256",9111,"NMI","MedConf","Yes",NA,"CCND3, BCL2L1, CCND2, UBC, CCNE1, PCNA","Cell cycle (4), PI3K-Akt signaling pathway (4), Jak-STAT signaling pathway (3), Focal adhesion (2), Apoptosis (1), Platinum drug resistance (1), Mitophagy - animal (1), Ras signaling pathway (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Base excision repair (1)"
"10263",129521,"NMS","MedConf","Yes",NA,"BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, HCAR2, TACR1, PTGDR2, CXCL13, GNA15, NPY, AGT, CCR8, DRD2, MTNR1B, NPBWR2, CXCR3, GNA11, CHRM2, TACR3, KALRN, CXCR4, HTR1A, ADRBK1, CXCL8, GNAI3, RGS20, S1PR2, AVPR1A, NMUR2, C5, CXCR5, CXCL11, EDN1, SSTR4, PNOC, OPRM1, FPR3","Neuroactive ligand-receptor interaction (16), Chemokine signaling pathway (9), Cytokine-cytokine receptor interaction (8), cAMP signaling pathway (6), Relaxin signaling pathway (3), Regulation of actin cytoskeleton (2), Sphingolipid signaling pathway (2), Phospholipase D signaling pathway (2), Serotonergic synapse (2), Toll-like receptor signaling pathway (2), GnRH signaling pathway (2), Long-term depression (2), Dopaminergic synapse (2), Rap1 signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Renin secretion (2), Leukocyte transendothelial migration (2), PI3K-Akt signaling pathway (1), Insulin secretion (1), TNF signaling pathway (1), RIG-I-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Platelet activation (1), Adrenergic signaling in cardiomyocytes (1)"
"10268",56923,"NMUR2","MedConf","Yes","Neuroactive ligand-receptor interaction","AGT, ADRBK1, GNA15, CXCR5, CXCL13, CXCL8, MTNR1B, CXCR3, EDN1, TACR1, TACR3, NPY, DRD2, PNOC, GNA11, KALRN, CXCL11, HTR1A, SSTR4, AVPR1A, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, GNAI3, OPRM1, C5, CCR8, CXCR4","Neuroactive ligand-receptor interaction (15), Chemokine signaling pathway (9), Cytokine-cytokine receptor interaction (8), cAMP signaling pathway (6), Relaxin signaling pathway (3), Leukocyte transendothelial migration (2), Dopaminergic synapse (2), Sphingolipid signaling pathway (2), Long-term depression (2), Serotonergic synapse (2), Renin secretion (2), Rap1 signaling pathway (2), GnRH signaling pathway (2), Regulation of actin cytoskeleton (2), Phospholipase D signaling pathway (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Platelet activation (1), Adrenergic signaling in cardiomyocytes (1), PI3K-Akt signaling pathway (1), Insulin secretion (1), TNF signaling pathway (1), RIG-I-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1)"
"10300",4839,"NOP2","MedConf","Yes",NA,"RPL23A, RPL4, RPS8, RPL19, NIFK, RRP1, UBC","Ribosome (4)"
"10314",4855,"NOTCH4","MedConf","Yes","Thyroid hormone signaling pathway, Notch signaling pathway","POFUT1, SNW1, JAG1, RBPJ, KAT2B, FBXW7, NCSTN, JUN","Notch signaling pathway (5), Th1 and Th2 cell differentiation (3), TNF signaling pathway (2), Thyroid hormone signaling pathway (1), Spliceosome (1), Th17 cell differentiation (1), Apoptosis (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Osteoclast differentiation (1), cAMP signaling pathway (1), NOD-like receptor signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"10334",2832,"NPBWR2","MedConf","Yes","Neuroactive ligand-receptor interaction","RGS20, FPR3, NMS, BDKRB1, CHRM2, CXCL8, MTNR1B, CXCR3, AGT, S1PR2, PNOC, NMUR2, C5, GNAI3, CXCR4, CXCR5, OPRM1, CCR8, SSTR4, NPY, CXCL11, DRD2, PTGDR2, HTR1A, HCAR2, CXCL13","Neuroactive ligand-receptor interaction (10), Chemokine signaling pathway (8), Cytokine-cytokine receptor interaction (7), cAMP signaling pathway (6), Regulation of actin cytoskeleton (2), Sphingolipid signaling pathway (2), Serotonergic synapse (2), Toll-like receptor signaling pathway (2), Dopaminergic synapse (2), Rap1 signaling pathway (2), Renin secretion (2), Leukocyte transendothelial migration (2), PI3K-Akt signaling pathway (1), Phospholipase D signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Platelet activation (1), Adrenergic signaling in cardiomyocytes (1), Long-term depression (1), Relaxin signaling pathway (1)"
"10373",4852,"NPY","MedConf","Yes","cAMP signaling pathway","DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, OPRM1, CCR8, CXCL13, MTNR1B, C5, AGT, NMUR2, GNAI3, CXCR3, CXCR4, CXCR5, CXCL8","Neuroactive ligand-receptor interaction (11), Chemokine signaling pathway (8), Cytokine-cytokine receptor interaction (7), cAMP signaling pathway (5), Toll-like receptor signaling pathway (2), Renin secretion (2), Leukocyte transendothelial migration (2), Dopaminergic synapse (2), Sphingolipid signaling pathway (2), Serotonergic synapse (2), Rap1 signaling pathway (2), Regulation of actin cytoskeleton (2), Phospholipase D signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Platelet activation (1), Adrenergic signaling in cardiomyocytes (1), Long-term depression (1), Relaxin signaling pathway (1), PI3K-Akt signaling pathway (1)"
"10381",8431,"NR0B2","MedConf","Yes",NA,"ESRRA, NR4A1, NR1D1, RORA, RARG, UBC, SIN3A","Thyroid hormone signaling pathway (1), Th17 cell differentiation (1), MAPK signaling pathway (1), PI3K-Akt signaling pathway (1)"
"10382",9572,"NR1D1","MedConf","Yes",NA,"RORA, RARG, CREB1, ESRRA, NR4A1, NR0B2","PI3K-Akt signaling pathway (2), MAPK signaling pathway (1), Dopaminergic synapse (1), Adrenergic signaling in cardiomyocytes (1), Insulin secretion (1), Renin secretion (1), Vasopressin-regulated water reabsorption (1), Relaxin signaling pathway (1), Osteoclast differentiation (1), cAMP signaling pathway (1), TNF signaling pathway (1), Thyroid hormone synthesis (1), Th17 cell differentiation (1)"
"10399",3164,"NR4A1","MedConf","Yes","PI3K-Akt signaling pathway, MAPK signaling pathway","NR1D1, RORA, RARG, PSMC1, PSMD2, ESRRA, NR0B2, UBC","Proteasome (2), Th17 cell differentiation (1)"
"10419",145957,"NRG4","MedConf","Yes",NA,"EGFR","Phospholipase D signaling pathway (1), GnRH signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"10430",8828,"NRP2","MedConf","Yes",NA,"FLT4, PLXNA1","Ras signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"10441",55968,"NSFL1C","MedConf","Yes",NA,"UBC, VCP, YOD1, PSMD2","Proteasome (1)"
"10458",30833,"NT5C","MedConf","Yes",NA,"PDE6H, PDE6A, ENTPD4, AK4, PDE1B, ITPA, AMPD1, AK7, PDE5A, DCK, HPRT1","Renin secretion (1)"
"10526",9253,"NUMBL","MedConf","Yes","Notch signaling pathway",NA,NA
"10530",9631,"NUP155","MedConf","Yes","RNA transport","NUP188, SRSF2, SRSF3, NXF1, SRRM1, GCKR, SNRPD3, UBC, SRSF1, RAE1, NUP43, RANBP2","RNA transport (6), Spliceosome (4)"
"10532",23511,"NUP188","MedConf","Yes","RNA transport","NUP43, GCKR, SRRM1, UBC, RANBP2, SRSF1, NXF1, SRSF3, SNRPD3, NUP155, SRSF2, RAE1","RNA transport (6), Spliceosome (4)"
"10535",91181,"NUP210L","MedConf","Yes","RNA transport",NA,NA
"10539",348995,"NUP43","MedConf","Yes","RNA transport","BUB1B, CENPH, ITGB3BP, RANGAP1, CENPO, CENPP, RANBP2, NUP155, KIF18A, CDCA8, NUP188, SRRM1, RAE1, SNRPD3, PLK1, UBC, BIRC5, SRSF2, MIS12, SRSF1, GCKR, NXF1, SRSF3, RAD21","RNA transport (7), Spliceosome (4), Cell cycle (3), Apoptosis (1), Platinum drug resistance (1)"
"10558",10482,"NXF1","HighConf","Yes","RNA transport","RAE1, SRSF2, SRSF1, SRSF3, NUP43, RANGAP1, RANBP2, NUP155, NUP188, NXT1, FYTTD1, UBC, SRRM1","RNA transport (8), Spliceosome (3)"
"10572",29107,"NXT1","MedConf","Yes","RNA transport","NXF1","RNA transport (1)"
"10582",8638,"OASL","HighConf","Yes",NA,"EGR1, MT2A, ICAM1, IRF6, GBP2, NCAM1, YARS, ACACB, IRF9, ISG15","NOD-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Jak-STAT signaling pathway (1), Osteoclast differentiation (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), NF-kappa B signaling pathway (1)"
"10586",51686,"OAZ3","HighConf","Yes",NA,"PSMF1, PSMB4, PSMD6, PSMB5, PSMA4, PSMD12, PSMD11, PSMB2, PSMA3, PSMD7, PSMC5, PSMC4, PSMC1, PSMB1, PSMA6, PSMD3, PSMC2, PSMA1, PSMA7, PSMA5, PSMD2, PSMD1","Proteasome (22)"
"10600",54959,"ODAM","MedConf","Yes",NA,"MFGE8, PRL, FGA, TTR, SEMG1","Jak-STAT signaling pathway (1), Neuroactive ligand-receptor interaction (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), Thyroid hormone synthesis (1), Platelet activation (1)"
"10621",8473,"OGT","MedConf","Yes",NA,"PHF20, SIN3A, UBC, HCFC1, WDR5","Thyroid hormone signaling pathway (1)"
"10662",4988,"OPRM1","MedConf","Yes","Neuroactive ligand-receptor interaction","CCR8, GNG3, GNAI3, GNAO1, CXCR4, C5, NMUR2, AGT, ADRBK1, CXCR5, CXCL13, CXCL8, MTNR1B, GNG10, CXCR3, NPY, DRD2, PNOC, GNAT2, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, RANBP9, GRK4, UBC","Chemokine signaling pathway (11), Neuroactive ligand-receptor interaction (10), Cytokine-cytokine receptor interaction (7), cAMP signaling pathway (6), Serotonergic synapse (5), Dopaminergic synapse (5), Relaxin signaling pathway (4), PI3K-Akt signaling pathway (3), Rap1 signaling pathway (3), Regulation of actin cytoskeleton (2), Sphingolipid signaling pathway (2), Toll-like receptor signaling pathway (2), Ras signaling pathway (2), Renin secretion (2), Leukocyte transendothelial migration (2), Long-term depression (2), Phospholipase D signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), NOD-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Platelet activation (1), Adrenergic signaling in cardiomyocytes (1)"
"11028",84876,"ORAI1","MedConf","Yes","cAMP signaling pathway, Renin secretion, Platelet activation",NA,NA
"11086",55593,"OTUD5","MedConf","Yes","RIG-I-like receptor signaling pathway","RPS27A","Ribosome (1)"
"11122",5032,"P2RY11","MedConf","Yes","Neuroactive ligand-receptor interaction",NA,NA
"11133",5034,"P4HB","HighConf","Yes",NA,"CALR, HSP90B1, APOB, PLOD3, COL1A2, COL10A1, LEPRE1, UBC","PI3K-Akt signaling pathway (2), Platelet activation (1), ECM-receptor interaction (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Lysine degradation (1), Thyroid hormone synthesis (1), Phagosome (1)"
"11135",5036,"PA2G4","MedConf","Yes",NA,"GNL2, UBC, RPL4, RPL24, NIFK, RAE1, RPL3L, RPL23A, RPL27, RPL3","Ribosome (6), RNA transport (1)"
"11136",80227,"PAAF1","HighConf","Yes",NA,"PSMC4, PSMD7, PSMD11, PSMD3, PSMD2, PSMC2, PSMD6, PSMD1, PSMD12, PSMC1, PSMC5","Proteasome (11)"
"11138",340529,"PABPC1L2A","MedConf","Yes","RNA transport",NA,NA
"11141",8761,"PABPC4","MedConf","Yes","RNA transport","UBC",NA
"11142",140886,"PABPC5","MedConf","Yes","RNA transport","UBC",NA
"11161",5050,"PAFAH1B3","MedConf","Yes","Ether lipid metabolism","PLA2G6, PLA2G4D, JMJD7-PLA2G4B, CEPT1, PLA2G4A, UBC","Ether lipid metabolism (5), Ras signaling pathway (4), Platelet activation (3), Phospholipase D signaling pathway (3), GnRH signaling pathway (3), Fc epsilon RI signaling pathway (3), Long-term depression (3), Fc gamma R-mediated phagocytosis (3), Serotonergic synapse (3), MAPK signaling pathway (3)"
"11162",5051,"PAFAH2","MedConf","Yes","Ether lipid metabolism","PLA2G4A, PLA2G6, CEPT1, JMJD7-PLA2G4B, PLA2G4D","Ether lipid metabolism (5), Ras signaling pathway (4), Platelet activation (3), Phospholipase D signaling pathway (3), GnRH signaling pathway (3), Fc epsilon RI signaling pathway (3), Long-term depression (3), Serotonergic synapse (3), MAPK signaling pathway (3), Fc gamma R-mediated phagocytosis (3)"
"11207",10914,"PAPOLA","MedConf","Yes",NA,"PCF11, POLR2F, POLR2J, SRSF3, CD2BP2, CCAR1, UBC, SRRM1, YBX1, SF3B2, HNRNPM, SF3B6, EFTUD2, PTBP1, SF3B1, SRSF1, SRSF2, HNRNPA2B1, EXOSC10, PHF5A, HNRNPH1, SNRPD3, PRPF8","Spliceosome (11), RNA transport (1)"
"11221",56288,"PARD3","MedConf","Yes","Rap1 signaling pathway, Chemokine signaling pathway, Neuroactive ligand-receptor interaction","CDH5, JAM3, PARD6G, PVRL4, RPS27A, UBC, UBB, CDC42, YWHAH","Leukocyte transendothelial migration (3), Rap1 signaling pathway (2), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1), Ribosome (1), Cell cycle (1), PI3K-Akt signaling pathway (1), Mitophagy - animal (1)"
"11225",84552,"PARD6G","MedConf","Yes","Rap1 signaling pathway","PARD3, CDH5, CDC42, C9orf172","Leukocyte transendothelial migration (2), Chemokine signaling pathway (2), Rap1 signaling pathway (2), Neuroactive ligand-receptor interaction (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1)"
"11227",5071,"PARK2","MedConf","Yes","Mitophagy - animal","PSMA1, PSMC5, RPS27A, PSMA4, FBP1, PARK7, UBC, DNAJA1, STUB1","Proteasome (3), Ribosome (1)"
"11228",11315,"PARK7","MedConf","Yes",NA,"PARK2, UBC","Mitophagy - animal (1)"
